Sentiment,Tweet
0,"RT @SJVatsal: #Toon:""Difference in VISION"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/ns3Bs?"
0,"RT @SJVatsal: #Toon:""Difference in VISION"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/ns3Bs?"
1,"RT @SJVatsal: Toon:""Crane Bedi"" (#NaMo #BJP #toon #DelhiWithModi #Modi #KiranBedi #DelhiElections #Toonami #Delhi ) http://t.co/wDV57sw1N9"
1,"RT @SJVatsal: Toon:""Crane Bedi"" (#NaMo #BJP #toon #DelhiWithModi #Modi #KiranBedi #DelhiElections #Toonami #Delhi ) http://t.co/wDV57sw1N9"
1,"RT @SJVatsal: Toon:""Crane Bedi"" (#NaMo #BJP #toon #DelhiWithModi #Modi #KiranBedi #DelhiElections #Toonami #Delhi ) http://t.co/wDV57sw1N9"
-1,"RT @SJVatsal: Toon:""Kis ke Khilaf hai e sab??"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/f?"
0,"RT @SJVatsal: Toon:""Pehle shapath leni hogi"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/suP?"
-1,"RT @SJVatsal: Toon: ""Choose now"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/VMZbiTMABn"
-1,"RT @SJVatsal: Toon:""Lack of patience"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/IxCSwmGKV4"
-1,"RT @SJVatsal: Toon:""Dharna the best policy"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/VX0151Oxii"
1,"Toon:""Crane Bedi"" (#NaMo #BJP #toon #DelhiWithModi #Modi #KiranBedi #DelhiElections #Toonami #Delhi ) http://t.co/wDV57sw1N9"
-1,"RT @SJVatsal: Toon: ""Choose now"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/VMZbiTMABn"
0,"#Toon:""Difference in VISION"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/ns3Bsm36pn"
-1,"Toon:""Kis ke Khilaf hai ye sab??"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/fkWDcD4IDf"
1,"RT @SJVatsal: Toon:""Bhrashtachaar vs sadachaaar"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/4nR5S17wJn"
0,"Toon: ""Choose now"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/VMZbiTMABn"
-1,"RT @SJVatsal: Toon: ""CM always on Dharna"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/RVdv9aw9Ue"
-1,"RT @SJVatsal: Toon: Recall- Crazy kejri"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/n4rIixHMBm"
0,"Toon:""Pehle shapath leni hogi"" #DelhiWithModi #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/suPRF9e2ix"
-1,"RT @SJVatsal: Toon:""Banaras ki janta poochhe sawal""#KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/hhHOsIPoJ8"
-1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
-1,"Toon:""Lack of patience"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/IxCSwmGKV4"
1,Did the clean image of #KiranBedi help #bjp in the coming #delhiElection or again the hope for new ruler and new things forward by #Aapdelhi
-1,"Toon: ""CM always on Dharna"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/RVdv9aw9Ue"
1,"Pic:""Shanti priye Arvind in Radhanpur"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/m9KqUo4ijF"
-1,"RT @SJVatsal: Toon:""Banaras ki janta poochhe sawal""#KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/hhHOsIPoJ8"
-1,"RT @SJVatsal: Toon:""Banaras ki janta poochhe sawal""#KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/hhHOsIPoJ8"
-1,"Toon:""Banaras ki janta poochhe sawal""#KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/hhHOsIPoJ8"
1,"Toon:""Dharna-the best policy"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/VX0151Oxii"
0,"Jat: Mitron sometime I also criticize party lekin kya @narendramodi aur @thekiranbedi ki imaandari par koi shaq ? Mera Vote #KiranBedi ko"""
-1,"Toon:""Fear politics""#KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/ydEJ0RfcGL"
-1,"Toon:""Nation wants to know"" #KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/LGwpKKmPWt"
